number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
39,1.3447378873825073,2025-10-13 19:40:55.945736,2025-10-13 19:41:14.858511,0 days 00:00:18.912775,relu,64,0.2,5,mse,0.0006612089699505046,0.32086660827502284,9.666810879061396e-05,1024,,COMPLETE
40,1.3514387226104736,2025-10-13 19:41:14.963647,2025-10-13 19:41:48.307913,0 days 00:00:33.344266,gelu,32,0.1,3,mae,0.0008122587930284287,0.2636212259453559,0.00020447129454583796,512,,COMPLETE
41,1.2667931175231935,2025-10-13 19:41:48.407322,2025-10-13 19:42:04.890539,0 days 00:00:16.483217,relu,64,0.0,3,mse,0.0005503187361109704,0.2813046847820727,0.00025427262059172807,512,,COMPLETE
42,1.2875595784187317,2025-10-13 19:42:04.981965,2025-10-13 19:42:20.217845,0 days 00:00:15.235880,relu,64,0.0,3,mse,0.0005389972871351254,0.2897849328943653,0.0001666867369808096,512,,COMPLETE
43,1.3280903911590576,2025-10-13 19:42:20.308072,2025-10-13 19:42:31.366987,0 days 00:00:11.058915,relu,64,0.0,3,mse,0.0019842638197303374,0.2489917020829312,0.0006129105996515595,512,,COMPLETE
44,1.32666517496109,2025-10-13 19:42:31.455389,2025-10-13 19:42:46.287403,0 days 00:00:14.832014,relu,64,0.0,3,mse,0.0006958345058427481,0.2386664099956193,3.6726875484618504e-05,128,,COMPLETE
45,1.28103049993515,2025-10-13 19:42:46.378658,2025-10-13 19:43:05.262060,0 days 00:00:18.883402,relu,64,0.0,6,mse,0.0009209172876117411,0.2670053023031744,0.00011129451172116239,512,,COMPLETE
46,1.298000192642212,2025-10-13 19:43:05.363262,2025-10-13 19:43:32.195567,0 days 00:00:26.832305,relu,32,0.0,2,huber,0.0010629288146739486,0.29828720515263185,0.00010244198241851692,512,,COMPLETE
47,1.2878302097320558,2025-10-13 19:43:32.287550,2025-10-13 19:43:54.736510,0 days 00:00:22.448960,gelu,64,0.1,4,mse,0.0009223514272978934,0.2661024581172342,4.7855598460808655e-05,256,,COMPLETE
48,1.3245355010032653,2025-10-13 19:43:54.825306,2025-10-13 19:45:17.655054,0 days 00:01:22.829748,relu,16,0.0,6,mae,0.0008805595193903026,0.28216939309782046,0.0001466119064758088,512,,COMPLETE
49,1.3618164038658143,2025-10-13 19:45:17.756218,2025-10-13 19:45:28.560384,0 days 00:00:10.804166,relu,64,0.0,3,mse,0.0011847712400744614,0.3875198700303252,2.368463420413748e-05,512,,COMPLETE
50,1.5268800497055053,2025-10-13 19:45:28.645276,2025-10-13 19:45:57.228545,0 days 00:00:28.583269,gelu,64,0.2,5,mse,0.0005339460786425845,0.34540249768287107,3.984927650352317e-05,128,,COMPLETE
51,1.2714746236801147,2025-10-13 19:45:57.328478,2025-10-13 19:46:17.098730,0 days 00:00:19.770252,relu,64,0.0,6,mse,0.0005717986261285294,0.2519862258091577,0.0002898051449250432,512,,COMPLETE
52,1.290793240070343,2025-10-13 19:46:17.189526,2025-10-13 19:46:33.255910,0 days 00:00:16.066384,relu,64,0.0,6,mse,0.00057441877071885,0.24470953790124725,7.283178824350342e-05,512,,COMPLETE
53,1.3458194732666016,2025-10-13 19:46:33.344889,2025-10-13 19:46:45.634918,0 days 00:00:12.290029,relu,64,0.0,6,mse,0.0010218608184285204,0.23350258361820303,0.00023732250617605866,512,,COMPLETE
54,1.3004824280738831,2025-10-13 19:46:45.728238,2025-10-13 19:47:02.659420,0 days 00:00:16.931182,relu,64,0.0,6,mse,0.0007149467783915187,0.2777656937038049,0.0004324564578346453,512,,COMPLETE
55,1.3269933938980103,2025-10-13 19:47:02.749848,2025-10-13 19:47:33.978162,0 days 00:00:31.228314,relu,32,0.0,6,mse,0.0016772410678501121,0.26898714821303066,0.00010862290222633466,512,,COMPLETE
56,1.4000732398033142,2025-10-13 19:47:34.078752,2025-10-13 19:47:52.021313,0 days 00:00:17.942561,relu,64,0.3,3,mse,0.0005239567210432994,0.2623893182330632,0.00016787870034236358,512,,COMPLETE
57,1.2848273992538453,2025-10-13 19:47:52.112748,2025-10-13 19:48:10.135164,0 days 00:00:18.022416,gelu,64,0.0,6,huber,0.0005911651802046953,0.24860600706275202,5.7716311896124576e-05,1024,,COMPLETE
58,1.2686268448829652,2025-10-13 19:48:10.236368,2025-10-13 19:48:28.792018,0 days 00:00:18.555650,gelu,64,0.0,6,huber,0.0008204963058815138,0.297615190019954,8.002835179121503e-05,1024,,COMPLETE
59,1.3457889318466187,2025-10-13 19:48:28.888377,2025-10-13 19:49:40.131784,0 days 00:01:11.243407,gelu,16,0.0,6,huber,0.0008197915991743832,0.3103743022878697,8.542725401300393e-05,1024,,COMPLETE
