number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
66,1.058467537164688,2025-10-19 20:45:27.829178,2025-10-19 20:48:56.821745,0 days 00:03:28.992567,gelu,16,0.0,6,huber,0.0005609306069076752,0.34779625471067505,1.1612250963514195e-05,1024,,COMPLETE
67,1.0848525881767273,2025-10-19 20:48:56.908382,2025-10-19 20:50:13.959176,0 days 00:01:17.050794,gelu,64,0.3,3,huber,0.0009687263572898917,0.2798719936358948,0.00016064508165100576,128,,COMPLETE
68,1.013996136188507,2025-10-19 20:50:14.040886,2025-10-19 20:51:33.979031,0 days 00:01:19.938145,gelu,64,0.2,5,huber,0.0011737823478383002,0.21903853101731094,2.9126096435782374e-06,1024,,COMPLETE
69,1.054833471775055,2025-10-19 20:51:34.060901,2025-10-19 20:52:16.722800,0 days 00:00:42.661899,gelu,64,0.0,6,mse,0.0008038206319070032,0.2949696733495839,6.219672169272636e-05,1024,,COMPLETE
70,1.0065198481082915,2025-10-19 20:52:16.804782,2025-10-19 20:53:26.671132,0 days 00:01:09.866350,gelu,64,0.1,4,huber,0.0008946996910560021,0.37934303638671896,0.00037432384875860515,512,,COMPLETE
71,1.0146606743335724,2025-10-19 20:53:26.753710,2025-10-19 20:54:35.480658,0 days 00:01:08.726948,gelu,64,0.1,4,huber,0.0008917440691979048,0.3765932653880601,0.0004141409235855704,512,,COMPLETE
72,1.006115972995758,2025-10-19 20:54:35.567303,2025-10-19 20:55:50.613305,0 days 00:01:15.046002,gelu,64,0.1,4,huber,0.0007556901378484828,0.35769382805974215,0.00036124028445825234,512,,COMPLETE
73,1.0144700586795807,2025-10-19 20:55:50.695101,2025-10-19 20:57:02.434281,0 days 00:01:11.739180,gelu,64,0.1,4,huber,0.0007250883834812058,0.35941595852013225,0.0008229125950186374,512,,COMPLETE
74,1.0024779260158538,2025-10-19 20:57:02.520925,2025-10-19 20:58:22.121281,0 days 00:01:19.600356,gelu,64,0.1,4,huber,0.0006792292559168172,0.36657776969858374,0.0006101766456893072,512,,COMPLETE
75,1.0075481116771698,2025-10-19 20:58:22.203013,2025-10-19 20:59:20.797235,0 days 00:00:58.594222,gelu,64,0.0,6,huber,0.0006990059169452714,0.2114635895323605,0.0006398423694688664,1024,,COMPLETE
